food,hotel,shopping,service,beauty,travel,entertainment,sports,education,media,medicine,car,traffic,finace,estate,company,government
15,4,7,26,5,1,2,0,21,1,8,8,10,11,7,29,38
8,1,11,21,26,0,1,1,5,1,34,0,6,8,36,0,10
6,4,37,15,5,5,1,7,9,7,6,0,7,10,23,3,24
10,7,15,19,4,2,4,1,44,1,10,7,17,9,13,8,19
9,2,20,12,3,4,0,0,2,2,5,5,20,8,19,11,69
9,4,16,43,9,2,1,0,19,0,5,12,14,10,28,5,16
19,4,40,31,14,1,5,0,8,3,10,5,33,7,0,2,11
7,1,6,31,10,1,10,0,3,2,15,9,59,16,2,1,19
15,14,24,15,7,8,5,2,15,7,8,0,18,19,9,5,20
11,0,19,19,0,1,0,0,36,2,21,13,16,1,21,0,4
5,7,3,5,8,10,5,1,24,0,11,30,31,8,33,1,10
13,5,15,12,5,5,3,0,13,1,6,3,11,6,27,1,54
9,3,16,1,3,0,0,0,7,0,7,4,102,3,11,5,23
7,6,14,22,9,1,2,4,7,1,10,46,12,12,5,4,19
17,4,10,11,3,1,1,0,11,3,9,3,21,13,4,8,58
11,0,28,12,9,2,0,0,2,5,11,2,15,14,7,12,60
0,1,7,11,2,46,0,0,26,0,6,0,14,12,16,2,35
11,3,12,39,12,8,12,0,19,4,12,1,15,15,7,1,18
10,2,20,8,1,0,0,1,19,0,4,66,16,5,9,11,18
7,0,0,13,0,4,0,0,11,0,0,0,6,9,2,112,14
10,0,15,14,6,30,0,0,5,29,6,13,11,5,13,0,18
2,2,13,15,8,9,1,1,12,1,9,2,6,5,16,3,14
5,10,15,10,4,3,4,0,8,0,3,1,87,5,12,5,19
11,6,27,29,4,3,2,1,9,1,10,9,7,11,14,5,42
37,0,32,38,13,7,0,2,8,0,9,0,0,2,45,0,1
5,4,8,4,4,43,2,0,21,3,5,3,12,8,8,2,17
11,5,8,16,7,3,1,1,16,0,16,0,23,20,7,11,46
14,4,17,20,4,0,1,1,37,2,15,9,8,7,40,5,8
5,0,5,22,6,0,3,0,24,0,44,7,1,2,51,7,3
9,27,1,4,3,0,0,0,5,0,3,0,49,0,47,2,14
10,16,30,5,6,1,16,0,16,0,7,0,6,8,38,4,27
1,0,20,31,5,0,0,0,20,0,0,17,38,17,12,7,24
9,5,9,20,16,6,1,1,27,2,12,9,9,18,24,4,19
17,1,8,9,1,0,0,0,35,1,8,15,17,4,25,1,12
9,4,2,6,6,1,2,0,54,2,43,18,14,3,19,0,8
18,7,20,10,4,2,10,1,29,2,2,33,11,6,7,2,13
4,4,14,10,2,11,6,0,0,0,9,6,102,7,8,0,9
11,0,18,4,2,1,2,0,3,0,26,34,69,3,5,2,12
10,2,16,22,3,0,1,0,18,0,2,28,18,8,5,3,3
6,4,12,3,1,2,0,0,17,0,29,4,7,13,20,2,6
33,4,5,13,4,17,4,0,22,2,7,3,19,6,33,12,8
1,0,1,3,0,0,0,0,41,0,1,62,20,3,59,0,2
8,5,7,18,4,3,4,0,28,1,19,0,14,19,34,3,25
7,6,30,28,12,3,3,0,41,0,15,0,12,16,10,6,4
0,21,31,24,8,0,2,0,41,0,9,32,27,0,0,0,0
4,4,8,24,3,8,2,2,19,8,9,0,5,9,31,2,53
9,23,16,7,4,0,2,0,3,0,3,79,18,5,1,3,19
2,0,2,3,0,2,2,0,93,1,39,30,9,7,2,0,1
9,1,9,12,0,4,0,4,2,0,17,60,17,1,4,14,17
8,3,10,18,3,21,12,0,17,2,14,0,12,14,18,4,37
8,3,14,7,1,1,2,3,14,0,34,51,18,8,2,8,19
1,8,7,5,3,0,1,0,18,2,40,49,18,1,7,2,10
11,2,7,10,1,1,0,0,34,2,3,3,20,6,0,12,69
13,3,18,27,13,4,5,0,5,2,20,17,33,8,2,1,21
17,5,10,5,21,0,7,0,8,0,33,14,20,1,26,15,11
4,6,14,15,2,5,3,0,14,0,10,3,17,23,53,1,22
11,0,10,23,3,0,0,0,23,0,9,11,16,4,61,8,13
8,1,15,13,4,0,0,0,10,0,5,73,20,7,1,13,23
4,2,3,10,5,3,5,3,6,0,5,3,60,15,37,1,9
9,4,24,12,7,1,1,0,27,1,5,1,16,11,46,1,25
5,4,6,8,1,1,2,0,26,0,6,0,8,15,87,5,17
20,2,14,14,4,2,5,0,1,0,19,0,11,2,82,6,11
11,4,25,14,2,1,1,0,3,3,4,5,20,6,1,10,83
2,0,13,40,3,0,0,0,30,0,3,11,32,17,7,7,28
21,5,12,18,6,2,0,0,50,2,7,0,8,12,23,4,23
11,15,19,33,16,4,6,3,13,0,14,0,7,18,9,12,11
0,0,19,16,4,7,0,0,21,0,8,51,21,2,41,1,2
10,6,11,70,3,0,1,0,17,0,3,1,29,17,5,7,11
7,5,70,15,2,1,3,0,13,2,4,19,32,9,3,0,10
13,1,13,40,3,0,0,2,30,4,9,1,16,3,39,1,18
14,2,11,11,21,2,3,0,4,0,23,3,15,12,53,6,12
5,1,3,4,4,3,2,1,5,0,8,1,6,6,13,3,14
15,10,17,16,6,2,3,1,6,1,14,13,17,7,21,6,9
1,1,6,4,2,11,0,0,5,2,6,9,106,4,14,0,22
11,4,4,22,18,5,0,0,9,1,11,8,24,12,12,6,16
15,5,7,22,7,4,2,0,15,2,2,10,42,19,8,8,25
11,8,31,15,7,2,1,0,41,1,14,2,21,10,11,0,17
10,4,25,6,1,4,2,1,29,10,4,0,10,4,37,1,45
13,0,25,0,0,142,0,0,5,0,0,0,13,0,0,0,0
3,1,3,18,0,7,4,0,41,0,0,26,43,1,30,0,15
5,4,20,16,7,2,1,0,11,1,9,43,9,6,19,4,33
24,7,7,16,8,7,1,1,18,5,10,8,23,25,6,9,19
10,5,15,23,9,4,5,2,14,2,18,5,15,7,24,10,24
9,3,10,16,6,1,2,1,40,0,9,0,12,7,6,4,9
0,0,20,28,0,0,0,0,0,0,1,43,47,0,0,0,20
27,3,20,5,13,3,0,0,2,0,62,7,28,0,13,0,10
1,0,0,5,1,0,1,0,1,0,5,124,2,16,1,0,2
0,0,4,24,7,0,0,0,17,0,21,0,0,0,47,0,0
0,0,6,0,4,11,0,0,11,0,8,35,45,0,11,22,18
18,1,11,15,0,4,4,0,7,13,4,0,4,1,38,0,74
3,1,28,13,2,0,1,1,23,0,4,0,2,6,21,79,7
9,5,17,11,4,0,3,0,26,15,27,9,13,4,15,1,15
6,5,12,4,5,1,1,0,6,2,4,0,7,3,70,2,7
10,8,42,5,4,6,1,0,22,1,8,0,10,16,14,8,35
12,10,11,9,7,1,2,1,68,2,7,2,9,27,9,2,13
9,5,14,11,9,3,2,2,17,1,11,0,61,12,15,5,13
14,8,12,23,8,4,1,3,5,1,11,8,19,15,25,14,8
18,10,12,6,4,10,2,9,5,5,4,3,51,15,7,4,25
0,0,7,3,0,8,3,0,33,7,2,37,29,3,34,3,22
4,1,9,11,7,9,2,0,6,0,6,1,6,4,14,2,8
10,5,14,9,26,5,2,0,40,1,10,9,11,7,14,4,24
4,6,5,9,0,26,1,2,13,5,5,4,5,7,12,2,85
6,2,19,26,6,0,5,1,13,0,11,1,9,12,19,3,60
15,6,14,12,7,1,6,0,20,0,16,0,19,2,43,8,24
10,2,20,14,3,73,6,7,15,3,2,7,11,8,1,0,9
21,8,9,16,17,0,1,1,7,1,25,13,27,6,18,9,12
9,11,11,18,12,13,2,0,9,1,11,1,23,3,37,9,22
10,3,11,19,6,0,7,0,0,1,9,4,13,3,74,6,25
6,4,17,16,6,1,3,0,19,7,7,0,5,4,51,4,40
23,2,15,14,3,0,3,1,39,0,11,0,9,11,36,9,17
24,5,20,14,13,2,7,1,10,1,13,2,16,14,15,8,27
26,3,12,14,7,4,0,1,22,5,15,21,18,5,14,3,21
10,6,19,21,12,14,4,0,14,0,5,0,16,28,16,4,21
10,1,7,15,9,0,6,0,24,0,43,7,15,5,28,0,6
4,1,1,12,3,0,0,2,98,0,9,0,10,20,10,0,14
2,2,32,41,3,0,2,0,13,0,3,25,3,2,2,0,61
12,3,14,13,12,1,1,0,2,2,5,21,17,3,11,8,67
0,0,25,13,32,8,0,0,15,0,46,0,11,6,34,0,5
14,2,14,7,4,15,0,0,4,0,10,5,96,9,4,0,8
6,9,28,8,2,6,4,0,7,0,2,10,35,5,24,24,6
2,4,7,29,4,0,1,0,16,2,2,0,7,29,67,3,9
8,17,7,18,6,5,4,0,11,0,8,5,72,9,5,2,15
13,2,16,12,2,1,2,2,9,0,16,23,36,19,10,5,25
10,6,18,35,12,3,3,2,18,0,6,3,5,5,22,9,36
17,6,23,19,16,3,3,0,7,10,4,11,7,2,12,1,50
13,4,8,18,1,1,1,1,12,3,3,12,22,6,12,11,65
7,12,11,5,3,0,2,0,4,1,6,1,25,5,95,0,1
0,0,2,26,12,0,0,0,12,0,11,11,39,19,20,9,34
6,2,4,15,6,0,0,0,7,0,2,138,5,3,0,1,4
3,3,36,32,2,0,1,0,35,0,2,7,25,11,11,5,18
10,6,8,15,5,0,2,1,7,3,17,1,12,9,82,2,11
9,36,16,9,19,0,3,0,0,0,0,1,78,3,1,2,14
2,2,12,48,5,9,3,0,76,1,1,0,14,9,4,0,7
10,6,21,32,2,3,4,1,10,2,6,22,12,11,7,2,42
9,3,37,18,16,0,2,0,1,0,5,23,36,15,6,0,22
10,1,8,11,7,0,2,1,20,0,9,8,11,7,79,2,14
6,0,12,8,6,0,0,0,11,0,15,0,8,11,22,9,11
10,16,23,21,8,0,5,0,3,1,7,3,15,7,30,7,34
0,4,27,8,0,4,0,0,32,13,23,0,6,3,27,2,44
7,5,10,26,6,11,2,1,24,1,15,1,18,10,19,5,29
12,7,11,33,5,10,3,0,8,6,4,17,42,10,2,4,17
11,9,15,17,3,13,6,0,13,3,9,2,23,7,18,2,15
9,28,12,29,8,0,16,1,11,6,10,5,15,8,4,3,25
16,9,5,16,5,14,1,0,14,5,23,11,21,14,7,5,26
2,0,14,9,0,0,0,0,3,2,0,39,30,3,20,5,42
8,1,13,30,3,0,0,0,19,5,13,17,13,0,23,0,23
10,17,4,68,19,4,11,1,15,3,2,4,11,3,2,2,16
7,5,12,16,9,12,3,0,38,0,6,1,11,7,17,3,13
